state,wave,date_start,date_end,cadence,platform,usage_count,usage_pct,usage_share,aui_published,working_age_pop,pop_share_fixed,pop_share_implied,aui_fixed,log_aui_fixed,rate,census_division,census_region,bea_region,federal_region,time_zone,platform_raw
AK,2025-08,2025-08-04,2025-08-11,week,free_pro,139.0,0.0667627281460134,0.06676336948481729,0.3136455649227586,464424.0,0.21286246946058085,0.21286042467220936,0.3136455649227584,-1.1594917047505544,0.0002992954713796014,Pacific,West,Far West,Region 10,Alaska,Claude AI (Free and Pro)
AL,2025-08,2025-08-04,2025-08-11,week,free_pro,1234.0,0.5926993275696446,0.5927050211817597,0.3963800287006222,3262439.0,1.4952948641855457,1.4952805001618745,0.3963800287006223,-0.9253818594791005,0.00037824462005266613,East South Central,South,Southeast,Region 4,Central,Claude AI (Free and Pro)
AR,2025-08,2025-08-04,2025-08-11,week,free_pro,662.0,0.3179634966378482,0.31796655107157606,0.3559565309798594,1948947.0,0.8932735415650153,0.8932649606472287,0.3559565309798594,-1.0329466595745644,0.00033967060161205,West South Central,South,Southeast,Region 6,Central,Claude AI (Free and Pro)
AZ,2025-08,2025-08-04,2025-08-11,week,free_pro,3189.0,1.531700288184438,1.5317150020653416,0.6980118332309821,4787742.0,2.194396898653257,2.194375818952021,0.6980118332309821,-0.3595192233104829,0.0006660759915634552,Mountain,West,Southwest,Region 9,Mountain,Claude AI (Free and Pro)
CA,2025-08,2025-08-04,2025-08-11,week,free_pro,52617.0,25.272334293948127,25.272577066062116,2.126665498802744,25927814.0,11.883663453556707,11.883549297327566,2.126665498802744,0.7545552595361233,0.002029365067182293,Pacific,West,Far West,Region 9,Pacific,Claude AI (Free and Pro)
CO,2025-08,2025-08-04,2025-08-11,week,free_pro,4927.0,2.366474543707973,2.3664972766308994,1.3043920503162054,3958343.0,1.8142530660603327,1.814235638076989,1.3043920503162054,0.2657370704006601,0.0012447127497541269,Mountain,West,Rocky Mountain,Region 8,Mountain,Claude AI (Free and Pro)
CT,2025-08,2025-08-04,2025-08-11,week,free_pro,1966.0,0.9442843419788663,0.9442934130010854,0.8704291660918975,2366950.0,1.084859572480582,1.0848491511590403,0.8704291660918974,-0.13876889460466918,0.000830604786750882,New England,Northeast,New England,Region 1,Eastern,Claude AI (Free and Pro)
DC,2025-08,2025-08-04,2025-08-11,week,free_pro,1811.0,0.8698366954851106,0.8698450513453541,3.8194718815935618,496883.0,0.22773961382913413,0.2277374261287131,3.8194718815935618,1.3401121621692107,0.003644721191910369,South Atlantic,South,Mideast,Region 3,Eastern,Claude AI (Free and Pro)
DE,2025-08,2025-08-04,2025-08-11,week,free_pro,444.0,0.2132564841498559,0.21325853274286977,0.7215895102511056,644810.0,0.2955399568775023,0.2955371178769559,0.7215895102511056,-0.3262988471310884,0.0006885749290488671,South Atlantic,South,Mideast,Region 3,Eastern,Claude AI (Free and Pro)
FL,2025-08,2025-08-04,2025-08-11,week,free_pro,9633.0,4.626801152737752,4.6268455989010455,0.694255522529669,14540563.0,6.664470715396172,6.664406695504572,0.6942555225296688,-0.36491519815683565,0.0006624915417649234,South Atlantic,South,Southeast,Region 4,Eastern,Claude AI (Free and Pro)
GA,2025-08,2025-08-04,2025-08-11,week,free_pro,5553.0,2.6671469740634004,2.667172595317919,0.7969123844249343,7302240.0,3.346883104649699,3.3468509539954754,0.7969123844249344,-0.22701053794761047,0.0007604515874580951,South Atlantic,South,Southeast,Region 4,Eastern,Claude AI (Free and Pro)
HI,2025-08,2025-08-04,2025-08-11,week,free_pro,685.0,0.3290105667627281,0.32901372731726525,0.8436003713400413,850928.0,0.39001135904508194,0.3900076125382707,0.8436003713400412,-0.17007639019264384,0.0008050034785551774,Pacific,West,Far West,Region 9,Hawaii,Claude AI (Free and Pro)
