state,aui_fixed,lo,hi,usage_count
DC,4.312548100211529,4.130883986100056,4.490262994451016,2184.0
MA,1.6061956953850902,1.571059511070928,1.642581328895962,7681.0
WA,1.5815111115787184,1.5479386161662176,1.6148939318758948,8338.0
NY,1.5701876824565375,1.548675115963593,1.5894035336655374,20510.0
CA,1.552943806447705,1.540413504827012,1.5662262099776807,41038.0
CO,1.4894441951946418,1.452759598608054,1.5263828573994815,6009.0
VA,1.297463184860545,1.268657337681531,1.3260944775952084,7433.0
UT,1.2646012682458174,1.2208625407007136,1.310473851188146,2978.0
WY,1.16174211802629,1.0546691117565865,1.2714919494527375,434.0
MD,1.066465381642829,1.035625248618153,1.097299396807353,4358.0
HI,1.0527213223195522,0.9835391981802611,1.1207504110565227,913.0
OR,1.050976380409639,1.0138872919934185,1.08984859807664,2947.0
CT,1.0367166278017927,0.9956790643662161,1.0760961078662352,2501.0
VT,1.0177905693222515,0.9219985157389811,1.1135826229055226,425.0
RI,1.0057203593880568,0.9337862446140125,1.0776544741621017,741.0
NH,1.0042266954631534,0.9412318262693701,1.0704513748396423,925.0
IL,0.9761560217028016,0.9560175166901916,0.9977242682338344,8193.0
GA,0.9651286771869771,0.9432208071027037,0.9874329178124873,7183.0
NJ,0.9629393352766472,0.9388618389786816,0.9866998112066901,5999.0
NC,0.9381355032069136,0.9164187591053738,0.9602733572501665,6739.0
PA,0.9169061377387634,0.8961321120908761,0.9364930762067718,7724.0
FL,0.9112736707446554,0.8960239225337491,0.9261860351455862,13505.0
TX,0.8714568409251807,0.8600331867343955,0.8834049653303313,18236.0
AZ,0.8617290170640078,0.8354980267705018,0.8877602009861376,4205.0
NV,0.8296947102602866,0.7921801935756663,0.867209226944907,1792.0
DE,0.8140619844950576,0.7455894811263147,0.884056099049773,535.0
MN,0.8093478114928155,0.7805026127674736,0.8392611036678347,3031.0
TN,0.6823709354135812,0.6584466674329004,0.7060887771882343,3223.0
MI,0.6805860477044735,0.6601516918020762,0.700105432447062,4463.0
ID,0.6804210662566641,0.6369734269061817,0.7277479591205829,877.0
NE,0.6633334867288252,0.6194571483652097,0.7079734026007769,847.0
OH,0.6596047997871779,0.641162934820884,0.677131273477003,5044.0
IN,0.6583245253932105,0.6352020158893625,0.6818916985413633,2961.0
ME,0.6520783677322678,0.6004508205452038,0.7059505908839873,581.0
KS,0.6437712149449532,0.6073313348537296,0.6802110950361772,1219.0
WI,0.6436023301543028,0.6189715160492232,0.6692634782353644,2483.0
MO,0.6375614949283637,0.6124077015737682,0.6619681459060902,2560.0
MT,0.5188907707490108,0.46741903209562397,0.5717536374741115,373.0
AK,0.5091407339569504,0.4478748365098489,0.5746318657107495,241.0
OK,0.5060168897075318,0.4784090922870163,0.5340028761338079,1338.0
AL,0.4911105242776709,0.46705122118997133,0.5145683447881784,1633.0
SC,0.4766466658953247,0.4543172725380663,0.5001283132046724,1665.0
IA,0.4714622545013154,0.44202602366755894,0.5008984853350722,977.0
LA,0.4705102336358473,0.4457643784086019,0.4955950731812745,1388.0
NM,0.4592620363006255,0.4230239690240866,0.4955001035771644,621.0
KY,0.4248283138730748,0.40219388005960693,0.44846740923962125,1258.0
AR,0.4072714332615307,0.37958301690876906,0.43547586100995755,809.0
SD,0.3865252345481805,0.3379929181026692,0.43852414502551434,223.0
ND,0.3686251734895034,0.3154012179589337,0.42382038663231725,187.0
WV,0.2818633048926628,0.25242821292602413,0.31129839685930183,316.0
MS,0.2787430253129769,0.25604236226665505,0.30197161075572515,528.0
