dropped,share_between_k9,gini,d_share_between,d_gini
CA,0.4397684846179852,0.20290376270752286,-0.12362600028824616,-0.010769842777916483
DC,0.6227266804170034,0.20864935627192993,0.05933219551077207,-0.005024249213509413
MS,0.5534461794211377,0.2097977122830259,-0.009948305485093623,-0.0038758932024134385
NY,0.5816223382489261,0.2098725725698516,0.018227853342694722,-0.0038010329155877542
KY,0.5485588522629116,0.20991891122582162,-0.014835632643319774,-0.003754694259617719
SC,0.582965091766367,0.21015505819927804,0.019570606860135675,-0.0035185472861613
AL,0.5494017354818432,0.21055865946595476,-0.013992749424388107,-0.003114946019484588
LA,0.5624330828929612,0.21062736047063624,-0.0009614020132701073,-0.003046245014803106
AR,0.564204230238711,0.21099099133145627,0.0008097453324796833,-0.002682614153983076
OK,0.5614958358627589,0.21139389065936753,-0.0018986490434724779,-0.0022797148260718103
WV,0.5762244245169479,0.21141758071411532,0.012829939610716545,-0.002256024771324028
IA,0.5574950057969298,0.2115597629266056,-0.005899479109301553,-0.002113842558833734
MA,0.5685244402092887,0.21210226096370166,0.005129955303057376,-0.0015713445217376831
OH,0.5529944244709459,0.21210255108326703,-0.010400060435285408,-0.0015710544021723116
NM,0.5729644723031988,0.2122194277936379,0.009569987396967461,-0.0014541776918014504
WA,0.5436247832802819,0.2123761684974923,-0.019769701625949487,-0.0012974369879470427
MO,0.5554096679113056,0.21254668641093466,-0.007984816994925703,-0.0011269190745046842
WI,0.5579828524818974,0.2126950344455012,-0.005411632424333956,-0.0009785710399381475
IN,0.557227910001399,0.21279085196362635,-0.0061665749048323,-0.0008827535218129956
SD,0.5618279196785979,0.21283934583101416,-0.0015665652276334319,-0.0008342596544251846
MI,0.5548255022553616,0.21285143884089774,-0.008568982650869694,-0.0008221666445415998
ND,0.5620747012662979,0.21289206430471885,-0.0013197836399334584,-0.0007815411807204908
MT,0.5671007310925557,0.2131061761913019,0.0037062461863243135,-0.0005674292941374448
TN,0.567961547521092,0.21314317171806296,0.0045670626148606175,-0.0005304337673763815
KS,0.5598310849012264,0.21321212662300582,-0.0035634000050049908,-0.00046147886243352865
AK,0.5738094411610125,0.21328034605089374,0.010414956254781171,-0.00039325943454560086
NE,0.5613073468881414,0.21346377075919476,-0.002087138018089907,-0.00020983472624458432
CO,0.5854590697572825,0.21348154520074392,0.022064584851051117,-0.0001920602846954278
ME,0.5719869340179528,0.2134903992280779,0.008592449111721412,-0.0001832062573614568
ID,0.566338745999299,0.21353785466108477,0.0029442610930676683,-0.00013575082435457464
WY,0.5635273883075976,0.2138158295032544,0.00013290340136629109,0.00014222401781505134
DE,0.5636328433929679,0.21386339001086396,0.00023835848673658955,0.00018978452542461888
VT,0.564049525980155,0.21388711965009122,0.0006550410739236678,0.00021351416465187345
RI,0.5647133856534022,0.21405558724048668,0.0013189007471708925,0.00038198175504733367
HI,0.5670980340124667,0.2140973835738128,0.003703549106235382,0.000423778088373461
NH,0.5650939876158085,0.21415196472292386,0.0016995027095771942,0.0004783592374845158
UT,0.5663486709748523,0.21430865149210854,0.0029541860686209676,0.0006350460066691932
NV,0.5649271240124395,0.2143874871043875,0.0015326391062081557,0.0007138816189481423
MN,0.5677107075165421,0.21469076368147189,0.004316222610310727,0.0010171581960325415
CT,0.5673339887802684,0.2148801592153411,0.003939503874037076,0.0012065537299017493
VA,0.5762677859069877,0.21493467634091046,0.012873301000756343,0.0012610708554711136
OR,0.5761120909422704,0.21504740897032104,0.012717606036039109,0.0013738034848816971
MD,0.5642580186646065,0.21561950283301368,0.0008635337583751124,0.0019458973475743324
AZ,0.5664536239835636,0.2157042892037535,0.0030591390773322402,0.0020306837183141635
NJ,0.5781923271617684,0.21702692066706464,0.014797842255537041,0.0033533151816252937
NC,0.5633783741761013,0.21747377714592442,-1.611073013008113e-05,0.0038001716604850744
GA,0.5633004383287945,0.2176859516475661,-9.404657743683487e-05,0.004012346162126756
PA,0.5933015116244424,0.21800853624021077,0.029907026718211105,0.004334930754771427
IL,0.5855340302012393,0.21818327532568416,0.022139545295007945,0.004509669840244812
FL,0.5644855261405747,0.22123376473020273,0.0010910412343433373,0.007560159244763387
TX,0.5974011913501166,0.222797825506435,0.03400670644388526,0.009124220020995666
