state,n_occ,classified_pct,usage_count
CA,21,65.94029737520862,52617.0
NY,20,65.52134540750325,19274.0
TX,17,59.22204679201952,13896.0
FL,17,55.866211038624826,9633.0
VA,15,52.867298578199055,8420.0
WA,13,50.66952329941082,7451.0
IL,14,47.96360485268631,6924.0
NJ,8,46.343933562892445,4937.0
MA,13,46.179193472461954,6373.0
MO,9,44.40550013480723,3709.0
NC,11,44.19367283950617,5169.0
GA,11,43.92959770114942,5553.0
PA,9,41.99355694523403,5262.0
CO,10,40.29126213592233,4927.0
MD,8,34.4040350411468,3767.0
AZ,7,34.08592035120727,3189.0
OH,8,33.27759197324414,3588.0
MI,7,32.02033036848793,3148.0
MN,8,30.91645196908355,2717.0
UT,14,29.520383693045563,8340.0
NV,5,28.021978021978025,2184.0
OR,8,27.690582959641258,2676.0
TN,7,27.104377104377104,2376.0
IN,5,23.64827962861824,1831.0
SC,5,23.42277012327774,1379.0
WI,4,20.114285714285717,1750.0
CT,5,19.78636826042726,1966.0
DC,6,17.945886250690226,1811.0
AL,3,15.721231766612643,1234.0
IA,3,12.5,744.0
OK,1,11.61217587373168,887.0
KY,2,10.613943808532778,961.0
NH,1,10.461956521739133,736.0
LA,1,10.12536162005786,1037.0
NM,2,9.502262443438916,663.0
KS,1,7.943416757344941,919.0
WV,1,6.097560975609757,246.0
ID,2,5.766062602965404,607.0
AR,1,5.135951661631419,662.0
RI,1,3.795066413662239,527.0
VT,1,3.488372093023255,430.0
DE,1,3.3783783783783785,444.0
HI,1,2.627737226277372,685.0
NE,1,2.5974025974025974,616.0
